gene_id	gene_name	SRR8521732	SRR8521733	SRR8521735	SRR8521737	SRR8521738	SRR8521656	SRR8521658	SRR8521673	SRR8521679	SRR8521683	SRR8521692	SRR8521696	SRR8521702	SRR8521723	SRR8521662	SRR8521675	SRR8521677	SRR8521694	SRR8521698	SRR8521700	SRR8521706	SRR8521666	SRR8521668	SRR8521670
ENSG00000283863	MIR3960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283865	MTND3P18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283867	MIR1307	0.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59
ENSG00000283871	MIR130B	0	0	0	0	0	0	0	0	0	0	0	0	4.32	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283873	SSU72L4	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283874	MIR3911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283876	MIR4260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283877		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283879	MTND6P35	0.06	0	0.16	0	0	0.07	0	0.16	0	0.27	0	0	0	0.16	0.1	0.04	0.05	0	0	0.07	0	0	0	0
ENSG00000283880	MIR7704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283881	MIR3916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283885	MIR3714	0	0	0	1.16	1.42	0	1.69	3.17	0	0	2.66	0	0	0	0	1.78	0	0	7.21	0	0	0	3.8	1.12
ENSG00000283888	MIR1469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283891	MIR628	0	0	0	0	4.14	1.99	0	0	0	0	0	2.98	0	0	0	0	0	0	0	2.21	0	0	5.98	1.15
ENSG00000283894	MIR1324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
